event_id,person_id,name_en,name_zh,event_type,date_or_value,place_or_context,source
EV0088,FM050,James Pellerite,詹姆斯・佩勒賴特,birth,1926,,manual life_dates field
EV0089,FM050,James Pellerite,詹姆斯・佩勒賴特,death,2018,,manual life_dates field
EV0092,FM052,Harvey Sollberger,哈維・索爾伯格,birth,1938-05-11,Cedar Rapids,Wikidata claims
EV0095,FM054,Keith Underwood,基思・安德伍德,birth,1934-01-01,,Wikidata claims
EV0097,FM056,Barthold Kuijken,巴托爾德・奎肯,birth,1949-03-08,Dilbeek,Wikidata claims
EV0098,FM057,Frans Brüggen,弗蘭斯・布呂根,birth,1934-10-30,Amsterdam,Wikidata claims
EV0099,FM057,Frans Brüggen,弗蘭斯・布呂根,death,2014-08-13,Amsterdam,Wikidata claims
EV0101,FM059,Wilbert Hazelzet,威爾伯特・哈澤爾澤特,birth,1948-11-20,The Hague,Wikidata claims
EV0103,FM061,Lisa Beznosiuk,麗莎・貝茲諾修克,birth,1956-08-20,Sheffield,Wikidata claims
EV0104,FM062,Claire Guimond,克萊兒・吉蒙,birth,1955-10-26,Montreal,Wikidata claims
EV0105,FM063,Pierre-Yves Artaud,皮耶-伊夫・阿爾托,birth,1946-07-13,Paris,Wikidata claims
EV0106,FM064,Patrick Gallois,帕特里克・加洛瓦,birth,1956-04-17,Linselles,Wikidata claims
EV0107,FM065,Philippe Bernold,菲利普・貝爾諾,birth,1960-09-08,Colmar,Wikidata claims
EV0108,FM066,Emmanuel Pahud,艾曼紐・帕胡德,birth,1970-01-27,Geneva,Wikidata claims
EV0109,FM067,Jacques Zoon,雅克・宗,birth,1961-01-01,Heiloo,Wikidata claims
EV0110,FM068,Marina Piccinini,瑪麗娜・皮奇尼尼,birth,1968-01-01,,Wikidata claims
EV0111,FM069,Sharon Bezaly,莎朗・貝扎利,birth,1972-10-02,Israel,Wikidata claims
EV0112,FM070,Denis Bouriakov,丹尼斯・布里亞科夫,birth,1981-10-25,Simferopol,Wikidata claims
EV0113,FM071,Andrea Lieberknecht,安德烈亞・利伯克內希特,birth,1965-01-01,Augsburg,Wikidata claims
EV0114,FM072,Felix Renggli,菲利克斯・倫格利,birth,1961-01-31,Basel,Wikidata claims
EV0115,FM073,Emily Beynon,艾蜜莉・貝農,birth,1969-01-01,,Wikidata claims
EV0116,FM074,Susan Milan,蘇珊・米蘭,birth,1947-09-03,London,Wikidata claims
EV0117,FM075,Wissam Boustany,威薩姆・布斯塔尼,birth,1960-10-01,Lebanon,Wikidata claims
EV0120,FM078,Lorna McGhee,洛娜・麥吉,birth,1972-01-01,,Wikidata claims
EV0121,FM079,Paul Edmund-Davies,保羅・艾德蒙-戴維斯,birth,1901-01-01,,Wikidata claims
EV0122,FM080,Jeffrey Khaner,傑弗里・卡納,birth,1950-00-00,Montreal,Wikidata claims
EV0127,FM084,Alexa Still,亞歷克莎・史蒂爾,birth,1962-00-00,New Zealand,Wikidata claims
EV0128,FM085,Mary Karen Clardy,瑪麗・凱倫・克拉迪,birth,1947,,manual life_dates field
EV0129,FM086,Patricia George,派翠西亞・喬治,birth,1944,,manual life_dates field
EV0130,FM087,Linda Chesis,琳達・切西斯,birth,1953,,manual life_dates field
EV0131,FM088,Tara Helen O'Connor,塔拉・海倫・奧康納,birth,1961,,manual life_dates field
EV0132,FM089,Molly Alicia Barth,莫莉・艾莉西亞・巴斯,birth,1978,,manual life_dates field
EV0133,FM090,Alberto Almarza,阿爾貝托・阿爾馬薩,birth,1966,,manual life_dates field
EV0134,FM091,Jasmine Choi,崔娜卿,birth,1983-05-23,Seoul,Wikidata claims
EV0135,FM092,Shigenori Kudo,工藤重典,birth,1954-09-26,Sapporo,Wikidata claims
EV0136,FM093,Kazunori Seo,瀨尾和紀,birth,1974-01-01,Kitakyūshū,Wikidata claims
EV0137,FM094,Seiya Ueno,上野星矢,birth,1989-08-00,Suginami,Wikidata claims
EV0138,FM095,Yuki Koyama,小山裕幾,birth,1986,,manual life_dates field
EV0139,FM096,Juliette Hurel,朱麗葉・于雷爾,birth,1970-05-14,Auxerre,Wikidata claims
EV0141,FM098,Davide Formisano,達維德・福爾米薩諾,birth,1974-10-20,Milan,Wikidata claims
EV0142,FM099,Sébastian Jacot,塞巴斯蒂安・雅科,birth,1987-08-12,Geneva,Wikidata claims
EV0143,FM100,Demarre McGill,德馬爾・麥吉爾,birth,1975-08-28,Chicago,Wikidata claims
LATEST-FM024,FM024,Peter-Lukas Graf,彼得-盧卡斯・格拉夫,death,2025-12-31,,https://www.musik-akademie.ch/musikschule/en/news/detail/zum-tod-des-floetisten-peter-lukas-graf.html
LATEST-FM029,FM029,Michel Debost,米歇爾・德博斯特,death,2026-05-02,,https://www.oberlin.edu/news/michel-debost-legendary-flute-professor-and-performer-dies-92
